ProteinAccession,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
TCCM_0467.00000110,8752700,3500300,5824300,3956200,16100000,16400000,8866100,5360100,6185800,7341300,32900000,40500000,15800000,18800000,12000000,13300000,11000000,18400000,12800000,17200000,19900000,22200000,26000000,30000000,30700000,23700000,19100000,23600000,34800000,4840900,7177600,19100000,26400000,29900000,2604400,6344800,1100200
TCCM_0248.00000020,10400000,19100000,22700000,19300000,35800000,38000000,26200000,7553600,9512600,10400000,44300000,48600000,39100000,26300000,24700000,24000000,14000000,26300000,30600000,29900000,19100000,27000000,32400000,26400000,40700000,29300000,30200000,46000000,34200000,26900000,23300000,30100000,22700000,31200000,19400000,19500000,2832100
TCCM_0430.00000010,1648200,2675700,7028400,8254600,4465600,6328100,3608300,1861200,2735000,2191000,8528500,12000000,7322100,5899100,5908300,3196800,2173600,3870800,5578600,8521200,7188700,8994800,13300000,9310500,13400000,13800000,8849400,11400000,10500000,3386700,4695000,7967000,6295600,8426400,2186300,2915200,0
TCCM_0169.00000030,2128000,1801700,22200000,27800000,62300000,38400000,29200000,3288500,6253800,8023100,33600000,26400000,90200000,67600000,39300000,2715000,2719000,3910100,2701500,11900000,14300000,12000000,27400000,27000000,32900000,27600000,20800000,42900000,50800000,9604400,6454000,2792200,5400800,6605500,49500000,43300000,3323900
TCCM_0115.00000030,7031800,8630200,27100000,40200000,14200000,16100000,12200000,4846300,5749500,5202900,29800000,33800000,29100000,15900000,22000000,9414700,5775400,10500000,16200000,15600000,16700000,22900000,27800000,26000000,29500000,24100000,30800000,41100000,38400000,8607200,16100000,14500000,19400000,18500000,5938500,6654500,639260
TCCM_0555.00000020,2328500,2772300,4904200,4994200,4803000,7681500,4051600,3562900,3065700,3236500,2603700,3691400,17800000,7858100,3562200,7123100,4994700,8106900,6741100,1607100,2061600,10900000,11800000,2060100,2057000,9521500,9020800,5370500,2345700,17700000,6994000,13200000,5784000,4513400,7137100,5411300,0
TCCM_0877.00000020,4283100,16800000,20900000,20300000,26100000,25800000,9582800,3851500,4628400,5919600,21900000,19200000,24300000,23700000,20800000,6183400,7559700,7528200,7625700,11700000,12700000,10500000,20800000,15500000,20100000,16100000,13300000,19000000,21800000,12500000,10400000,9859300,7675800,13100000,14000000,13400000,2115000
TCCM_0330.00000020,4174400,5782600,11900000,9059000,8822900,8084400,6513400,4275000,5672500,4770800,10400000,10200000,8592900,5866800,12300000,6741900,4999800,8849300,11500000,7992500,8770900,21500000,19000000,13300000,9038200,19000000,16900000,12900000,12800000,4427500,5422600,17000000,8119900,8757700,5340900,6186100,1261200
TCCM_0494.00000030,21000000,14800000,12000000,20700000,21900000,30300000,19700000,6800100,10800000,10600000,34200000,34600000,39000000,24900000,28600000,13700000,11000000,20300000,12800000,19200000,23400000,18900000,24700000,35500000,35700000,24100000,19700000,39900000,27000000,9319700,15900000,13300000,21100000,28100000,7019600,7758000,710030
TCCM_0404.00000070,6780600,11900000,12700000,13200000,7732900,9158000,6995900,3718900,5265000,5716500,11900000,13400000,12100000,12900000,12600000,6076600,4463200,5979700,7145500,6554600,7620300,9561300,12000000,8938800,9711900,11700000,9667300,10800000,9967700,9896800,8975200,10200000,9194700,11500000,4166600,4992400,178560
TCCM_0830.00000100,11000000,9151500,7664900,7424300,9633000,9042200,6088400,5065300,5421900,5068600,18200000,20300000,4657000,5639100,8278200,7306000,6412500,10500000,14100000,14700000,15300000,13100000,14200000,14300000,18100000,12100000,11200000,12500000,13800000,10400000,14900000,16500000,20900000,17100000,1430800,1106400,0
TCCM_0715.00000110,148000000,23400000,16300000,6127000,77800000,72200000,122000000,166000000,36000000,147000000,32800000,7880900,72900000,50400000,43700000,36100000,57400000,25900000,16700000,0,0,0,9091000,11700000,20200000,535700,567300,0,922590,2859500,0,14600000,24500000,18700000,0,0,0
TCCM_0240.00000050,20800000,1825100,4689300,2112700,36700000,31400000,18200000,6749400,7134000,7102800,26100000,32800000,25300000,21600000,15700000,14300000,7590500,18000000,15200000,19600000,23300000,27600000,33800000,30300000,40400000,26300000,23300000,22700000,36000000,41800000,22200000,28300000,17500000,16300000,10700000,16100000,0
TCCM_0654.00000010,3269400,7453500,6385400,7048200,6522100,12300000,7415500,2018400,2117300,2485400,10100000,16600000,9971800,10200000,8813600,7107800,4093600,2120700,8784200,7949500,7020000,6060400,5404800,11600000,9010400,6781400,5047400,12800000,13700000,1944300,2131800,6490600,9316300,12600000,5577100,15400000,647950
