ProteinAccession,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
TCCM_1000.00000030,26700000,18800000,15600000,26800000,68300000,82000000,42700000,15900000,19500000,16200000,97900000,73600000,54800000,44700000,38800000,29200000,18400000,40500000,18300000,62700000,47500000,44900000,44600000,71900000,73700000,38600000,35500000,86800000,87300000,12800000,10700000,29300000,52400000,52000000,12200000,8421400,3569100
TCCM_0822.00000040,153000000,167000000,197000000,304000000,245000000,262000000,215000000,90300000,131000000,126000000,288000000,221000000,277000000,224000000,246000000,182000000,89200000,182000000,153000000,288000000,236000000,221000000,254000000,164000000,177000000,219000000,220000000,264000000,270000000,199000000,257000000,209000000,225000000,191000000,64400000,173000000,24500000
TCCM_0183.00000190,59000000,68000000,133000000,104000000,95900000,128000000,67800000,34000000,44800000,39600000,146000000,128000000,86400000,70800000,153000000,48300000,45800000,76600000,61300000,65300000,88300000,98200000,90600000,96000000,102000000,140000000,86800000,132000000,142000000,107000000,63800000,86800000,80500000,105000000,62800000,59300000,9870900
TCCM_1000.00000040,53400000,92000000,115000000,86900000,71600000,103000000,58600000,23000000,28400000,21300000,83400000,151000000,73400000,55100000,120000000,28000000,24300000,53900000,70300000,31900000,69300000,150000000,128000000,77500000,79900000,112000000,89000000,70000000,117000000,47800000,42600000,125000000,53700000,96300000,9043800,17000000,4657000
TCCM_0616.00000020,22700000,108000000,78800000,61300000,4551700,23200000,23800000,5859200,12800000,5982300,146000000,204000000,12600000,2066300,67200000,74700000,66400000,104000000,60200000,76100000,173000000,40900000,102000000,143000000,72900000,40700000,20100000,166000000,65000000,1401800,58400000,38400000,113000000,117000000,33300000,21600000,1748100
TCCM_0102.00001950,1305300,1375600,7243800,10400000,39400000,41900000,14200000,22900000,57100000,39500000,208000000,290000000,151000000,77100000,0,87200000,89400000,123000000,93100000,157000000,94500000,84300000,148000000,277000000,201000000,95500000,82000000,279000000,286000000,119000000,55300000,119000000,186000000,208000000,0,0,0
TCCM_0851.00000010,4733500,9587400,12500000,10200000,10800000,11800000,5515300,3484000,5009100,3752000,13800000,12000000,20000000,18800000,7454100,5565300,4986300,7653400,7873600,7263300,7187600,10300000,13000000,11200000,13700000,13900000,13500000,16300000,19900000,11100000,11700000,12000000,9252900,6922600,3867600,3934500,839150
TCCM_0062.00000160,15000000,11500000,13100000,13400000,20000000,23300000,15100000,7280000,10100000,7868100,20500000,20800000,18400000,22700000,15100000,10400000,7330200,12100000,10000000,13400000,13300000,12200000,18300000,15700000,20600000,14300000,11200000,16100000,16900000,26200000,11000000,13700000,18800000,16000000,13100000,15000000,1198500
TCCM_0857.00000020,34700000,25500000,21700000,27300000,29800000,35200000,21900000,15600000,11100000,12500000,48800000,64200000,27400000,14300000,36200000,20800000,15500000,41600000,26000000,33100000,31600000,35700000,31400000,38000000,42200000,28900000,33400000,48900000,39800000,29000000,26300000,46500000,40600000,65700000,5258000,8739700,0
TCCM_0208.00000030,22500000,22300000,39100000,43500000,32400000,38200000,20200000,9331300,13300000,11100000,42200000,51200000,34800000,39400000,30300000,15500000,15000000,22700000,29000000,29300000,29500000,48200000,53600000,39300000,50600000,44100000,38300000,58100000,49600000,32000000,39300000,38400000,31500000,46000000,18700000,16400000,10700000
